ID,Title,type_of_paper,most_likely_to_title_WD,most_likely_to_title_OA,publication_date_title,author_1,educated_at_author_1,author_1_ORCID,ocupation_author_1,works_for_author_1,same_as_author_1_WD,same_as_author_1_OA,author_2,educated_at_author_2,author_2_ORCID,ocupation_author_2,works_for_author_2,same_as_author_2_WD,same_as_author_2_OA,author_3,educated_at_author_3,author_3_ORCID,ocupation_author_3,works_for_author_3,same_as_author_3_WD,same_as_author_3_OA,author_4,educated_at_author_4,author_4_ORCID,ocupation_author_4,works_for_author_4,same_as_author_4_WD,same_as_author_4_OA,author_5,educated_at_author_5,author_5_ORCID,ocupation_author_5,works_for_author_5,same_as_author_5_WD,same_as_author_5_OA,project_1,project_2,works_for_author_6,organitation_name_1,location_organitation_1,organitation_website_1,organitation_website_2,organitation_website_3,organitation_website_4,organitation_website_5,organitation_website_6,same_as_organitation_1_WD,same_as_organitation_1_OA,organitation_name_2,location_organitation_2,same_as_organitation_2_WD,same_as_organitation_2_OA,organitation_name_3,location_organitation_3,same_as_organitation_3_WD,same_as_organitation_3_OA,organitation_name_4,location_organitation_4,same_as_organitation_4_WD,same_as_organitation_4_OA,organitation_name_5,location_organitation_5,same_as_organitation_5_WD,same_as_organitation_5_OA,organitation_name_6,location_organitation_6,same_as_organitation_6_WD,same_as_organitation_6_OA,acknowledge_person_1,acknowledge_person_2,acknowledge_person_3,acknowledge_person_4,acknowledge_person_5,belongs_to_topic,topic_words_2,topic_words_1,topic_words_0,topic_words_7,topic_words_4,topic_words_5,topic_words_6,topic_words_8,topic_probability,topic_words_3,topic_words_9,topic_words_10,belongs_to_cluster
0,Virological assessment of hospitalized patients with COVID-2019,journal-article,http://www.wikidata.org/entity/Q89379643,https://openalex.org/W3013893137,2018-10,Roman Wölfel,,https://orcid.org/0000-0002-8756-7821,,https://openalex.org/I3019933268,,https://openalex.org/A2697293762,Victor Corman,,,,https://openalex.org/I39343248,,https://openalex.org/A4354971459,Wolfgang Guggemos,,,,https://openalex.org/I8204097,,https://openalex.org/A4351657905,Michael Seilmaier,,,,https://openalex.org/I4210121101,,https://openalex.org/A4297254524,Sabine Zange,,,,https://openalex.org/I3019933268,,https://openalex.org/A4357588666,602525,,,BELSPO,BE,http://www.belspo.be/belspo/index_en.stm,https://melissainstitute.org/,,,,,,https://openalex.org/I2801523276,MELiSSA,US,http://www.wikidata.org/entity/Q1582537,https://openalex.org/I4210130975,,,,,,,,,,,,,,,,,,,,,,0,risk corporate culture construction knowledge,detection vulnerability yolo brain food,companies water investor retail space,,denoising systems data smart mppca,tractography flood mouse risk dcm,hearing loss biomedical stimuli load,,0.907788454,adults virus older patients rna,,,0
1,Contents lists available at ScienceDirect,journal-article,,https://openalex.org/W2172172920,3/23/2017,Shaun Howell,,https://orcid.org/0000-0003-4629-0165,,https://openalex.org/I79510175,,https://openalex.org/A2468196247,Yacine Rezgui,,,,https://openalex.org/I79510175,,https://openalex.org/A4353277285,Thomas Beach,,,,https://openalex.org/I4210145600,,https://openalex.org/A4356018669,Semantic Aioti,,,,,,,Apache Jena,,,,,,,1302677,17035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,0.910712378,,,,5
2,Construction risk knowledge management in BIM using ontology and semantic web technology,journal-article,,https://openalex.org/W2340900365,4/22/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118240099,,,Fundamental Research Funds for the Central Universities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0.891335154,,,,5
3,Two-Stage Session-based Recommendations with Candidate Rank Embeddings,journal-article,,https://openalex.org/W2080950999,8/22/2019,José Sánchez Rodríguez,,,,https://openalex.org/I4210090703,,https://openalex.org/A4342210789,Jui-Chieh Wu,,,,https://openalex.org/I16733864,,https://openalex.org/A4332274736,Mustafa Khandwawala,,,,https://openalex.org/I59270414,,https://openalex.org/A2670850441,Fabio Aiolli,,https://orcid.org/0000-0002-5823-7540,,https://openalex.org/I138689650,,https://openalex.org/A1436807182,Paul Covington,,,,https://openalex.org/I1291425158,,https://openalex.org/A2645023824,,,,EPSRC,GB,https://www.epsrc.ac.uk/,https://www.bre.co.uk/,http://www.cardiff.ac.uk/,,,,,https://openalex.org/I1299528221,BRE,GB,http://www.wikidata.org/entity/Q597386,https://openalex.org/I2800994460,Cardiff University,GB,http://www.wikidata.org/entity/Q1035745,https://openalex.org/I79510175,,,,,,,,,,,,,,,,,,4,,,,,,,,,0.915352893,,,,5
4,Nonsyndromic Hearing Loss DFNA10 and a Novel Mutation of EYA4: Evidence for Correlation of Normal Cardiac Phenotype With Truncating Mutations of the Eya Domain,journal-article,,https://openalex.org/W2009625116,,Tomoko Makishima,Kyushu University,https://orcid.org/0000-0003-3397-6395,,https://openalex.org/I55302922,,https://openalex.org/A1984145752,Anne Madeo,,,,https://openalex.org/I4210156075,,https://openalex.org/A4339387275,Carmen Brewer,,,,https://openalex.org/I4210156075,,https://openalex.org/A4343697888,Christopher Zalewski,,,,https://openalex.org/I4210156075,,https://openalex.org/A4352891818,John Butman,,,,https://openalex.org/I4210155647,,https://openalex.org/A4357681337,Z01-DC-00060,Z01-DC-00064,,Ningbo Science and Technology Bureau for S&T Innovation,,,,,,,,,,Ningbo Science and Technology Bureau for,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,0.886765505,,,,11
5,Contextual incongruency triggers memory reinstatement and the disruption of neural stability,book-chapter,,https://openalex.org/W40303416,,Xiongbo Wu,,,,https://openalex.org/I4210158071,,https://openalex.org/A4345670572,Pau Packard,,,,https://openalex.org/I170486558,,https://openalex.org/A2052370175,Josué García-Arch,,,,https://openalex.org/I71999127,,https://openalex.org/A2972541715,Nico Bunzeck,,https://orcid.org/0000-0001-8834-450X,,https://openalex.org/I9341345,,https://openalex.org/A232972181,Lluís Fuentemilla,,,,https://openalex.org/I71999127,,https://openalex.org/A4346171733,,,,University of Bristol Business School,,,,,,,,,,Bangor Business School,,,,,,,,,,,,,,,,,,,,Chris Chapman,Giovanna Michelon,Mark Clatworthy,Emma Pugh,Marion Van Den Bosch,0,,,,,,,,,0.884145589,,,,11
6,Corporate socio-political activism and retail investors: Evidence from the Black Lives Matter campaign,journal-article,,https://openalex.org/W2238119078,4/13/2023,Ruby Brownen-Trinh,,,,https://openalex.org/I36234482,,https://openalex.org/A2906157420,Ayan Orujov,,,,https://openalex.org/I161548249,,https://openalex.org/A2804898168,Thomas Gemmill,,,,,,,Odean Barber,,,,,,,Edelman Earned Brand,,,,,,,,,,NWO,NL,http://www.nwo.nl/,,,,,,http://www.wikidata.org/entity/Q243370,https://openalex.org/I2800991832,,,,,,,,,,,,,,,,,,,,,Anne Roefs,,,,,1,,,,,,,,,0.884479731,,,,1
7,"An animal crisis caused by pollution, deforestation, and warming in the late 21st century and exacerbation by nuclear war",journal-article,,https://openalex.org/W2083913807,4/5/2023,Kunio Kaiho,,https://orcid.org/0000-0002-9212-1218,,https://openalex.org/I201537933,,https://openalex.org/A2121716411,J.-F Lamarque,,,,https://openalex.org/I107766831,,https://openalex.org/A4368821096,A.-K Lundebye,,,,,,,J.-C Svenning,,,,,,,,,,,,,,,,,University of Münster,DE,https://www.uni-muenster.de/en/,,,,,,,https://openalex.org/I22465464,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,0.882025322,,,,6
8,"You Only Look Once: Unified, Real-Time Object Detection",proceedings-article,http://www.wikidata.org/entity/Q112183158,https://openalex.org/W2963037989,5/9/2016,Joseph Redmon,,,,https://openalex.org/I201448701,,https://openalex.org/A4340105427,Santosh Divvala,,https://orcid.org/0000-0003-4042-5874,,https://openalex.org/I2945602774,,https://openalex.org/A2310010008,Ross Girshick,,,,https://openalex.org/I2252078561,,https://openalex.org/A4358337110,Ali Farhadi,,,,https://openalex.org/I3121602497,,https://openalex.org/A4358541034,R-Cnn Fast,,,,,,,1338054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,0.892414969,,,,12
9,Attention Is All You Need,proceedings-article,http://www.wikidata.org/entity/Q30249683,https://openalex.org/W2963403868,12/6/2017,Ashish Vaswani,University of Southern California,,,https://openalex.org/I1291425158,,https://openalex.org/A4353268090,Google Brain,,,,https://openalex.org/I1291425158,,https://openalex.org/A4371696026,Noam Shazeer,,,,https://openalex.org/I170897317,http://www.wikidata.org/entity/Q30251943,https://openalex.org/A4353703775,Niki Parmar,,,,https://openalex.org/I1291425158,,https://openalex.org/A4355993212,Jakob Uszkoreit,,,,https://openalex.org/I1291425158,,https://openalex.org/A4353417287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Turnbull,Youssef Z. Wadghiri,,,,5,,,,,,,,,0.893412058,,,,1
